1725473101.4928958 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.59894 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.603272 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6162937 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6206162 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6354458 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6393468 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6522837 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6564326 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6698725 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6742108 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6876087 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.6921518 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7051108 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7092307 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7233965 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.728781 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.74178 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.746272 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7589228 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7636986 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7777119 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.781816 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7941916 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.7987418 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8111556 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8152835 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.829656 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8339615 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8462496 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8495371 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8613825 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8653784 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8757489 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8791988 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8877168 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.8903792 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9006686 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9036767 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9140174 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9178119 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9298925 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9339218 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9461303 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9500155 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9627311 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.966701 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.979279 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9838421 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473104.9974236 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0012586 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0147858 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0185332 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0314314 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.03547 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0484064 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.052946 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0654075 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0704405 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0827727 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.0876985 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1006126 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.104681 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.118856 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1233718 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1402123 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.145465 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1593516 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1640553 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1731453 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.176812 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1864731 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.189215 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.1992786 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2024329 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.210807 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.213474 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2202916 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2224066 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.231317 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2339842 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2412496 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2437637 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2505906 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.252595 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2592123 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2615724 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2682395 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2702096 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2765348 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2790022 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2861059 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2882006 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2960107 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.2984087 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3049073 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3068535 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.314215 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3163743 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3225832 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.324404 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3319283 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3341887 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3404577 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.342685 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3508003 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3527522 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3585186 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.361291 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3678238 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3699028 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3773327 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3795996 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.385986 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3879998 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.394808 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.3972473 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4044628 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.406519 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4143388 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4167871 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4257696 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4297943 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4415793 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4455254 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.45687 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4615989 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4742806 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4796576 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4909184 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.4954522 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5083187 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5133798 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.52563 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5307724 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5433953 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5475945 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5594869 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5644915 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.5762563 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473105.581095 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3053582 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3054981 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3109744 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3111305 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3211694 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3213189 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3244073 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3245006 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3335133 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3336487 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.336837 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3369033 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.345771 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3458905 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3482852 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3483677 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.355145 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3552346 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3570812 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.357161 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3629048 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.363001 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3649518 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3650248 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3722336 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3723605 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.375242 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3753262 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3830662 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3831482 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.385143 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.385216 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3926811 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.392754 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.3948689 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.3949716 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.401084 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4011688 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.402924 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4029946 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4105797 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4106565 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4132524 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.413319 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4193075 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4193735 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4214058 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4214811 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4286885 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4287624 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.430615 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4306686 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.436564 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4366288 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4388433 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.438922 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4478757 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4479427 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4497926 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.44985 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.458507 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4585989 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4614565 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4615476 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4697106 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4697962 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4723582 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4724567 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4822345 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4823368 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4854364 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4855564 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4949877 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4950945 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.4979775 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.4980743 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5090182 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5092144 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5127537 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5128767 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5255764 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5257099 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5293422 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5294611 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5417974 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.541925 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5456817 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5458407 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.558726 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5588627 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5627148 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5628884 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5765314 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5766697 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5808346 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.580999 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5938597 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5940475 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.5984583 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.5986247 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6124086 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6125615 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.61661 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6167765 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6300602 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.630234 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6340318 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6341767 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6475458 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6476831 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6515286 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6516535 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6646087 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6647518 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6690133 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.669189 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.6820529 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.682252 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.68702 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.6871803 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7000358 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7002695 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7044454 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.704706 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7176166 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7177515 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7234106 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.723553 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.735403 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7355342 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7401886 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7404304 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.754098 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.754291 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7586653 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7588396 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7719166 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.772165 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7763426 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.776467 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.7901292 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7902899 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.794771 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.7948976 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8079677 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8083136 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8122296 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.812405 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8263257 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.826529 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8316464 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.831829 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8450136 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8451777 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.849226 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8493593 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8638277 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8639789 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.868179 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8683438 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.8824108 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8825493 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.886383 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.8865118 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9012382 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9013834 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9061766 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9063184 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9191694 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9193077 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9240582 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.924293 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9384046 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9385996 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9440684 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.94424 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9585814 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9587271 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.962778 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9629164 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.976072 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.9762764 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.981608 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.981795 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473163.9955425 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473163.995736 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0004723 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0006328 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0136108 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0137687 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0185826 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.018739 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0318387 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.032015 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.035958 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0361395 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0499203 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.050092 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0539963 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0541973 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0684974 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0686288 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0733669 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0735462 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.086529 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.086686 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.0915375 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.0916698 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.105248 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1054175 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.109898 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1100812 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1228235 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1230087 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1275742 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1277428 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1409516 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1411555 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
1725473164.1461773 :[Errno 111] Connection refused for ('127.0.0.1', 9090). 
1725473164.1463897 :[Errno 111] Connection refused for ('127.0.0.1', 5050). 
